p_win,v_win,n,visible,stim_id
0.8,2,3,1,1
0.8,2,3,1,1
0.8,2,3,1,1
0.7,2,2,1,2
0.7,2,2,1,2
0.6,2,1,1,3
0.5,2,1,1,4
0.4,2,1,1,5
0.3,2,1,1,6
0.2,2,1,1,7
0.8,4,2,1,8
0.8,4,2,1,8
0.7,4,3,1,9
0.7,4,3,1,9
0.7,4,3,1,9
0.6,4,2,1,10
0.6,4,2,1,10
0.5,4,1,1,11
0.4,4,1,1,12
0.3,4,1,1,13
0.2,4,1,1,14
0.8,6,2,1,15
0.8,6,2,1,15
0.7,6,3,1,16
0.7,6,3,1,16
0.7,6,3,1,16
0.6,6,3,1,17
0.6,6,3,1,17
0.6,6,3,1,17
0.5,6,2,1,18
0.5,6,2,1,18
0.4,6,1,1,19
0.3,6,1,1,20
0.2,6,1,1,21
0.8,8,1,1,22
0.7,8,2,1,23
0.7,8,2,1,23
0.6,8,3,1,24
0.6,8,3,1,24
0.6,8,3,1,24
0.5,8,3,1,25
0.5,8,3,1,25
0.5,8,3,1,25
0.4,8,2,1,26
0.4,8,2,1,26
0.3,8,1,1,27
0.2,8,1,1,28
0.8,10,1,1,29
0.7,10,1,1,30
0.6,10,2,1,31
0.6,10,2,1,31
0.5,10,4,1,32
0.5,10,4,1,32
0.5,10,4,1,32
0.5,10,4,1,32
0.4,10,2,1,33
0.4,10,2,1,33
0.3,10,1,1,34
0.2,10,1,1,35
0.8,12,1,1,36
0.7,12,1,1,37
0.6,12,2,1,38
0.6,12,2,1,38
0.5,12,3,1,39
0.5,12,3,1,39
0.5,12,3,1,39
0.4,12,3,1,40
0.4,12,3,1,40
0.4,12,3,1,40
0.3,12,2,1,41
0.3,12,2,1,41
0.2,12,1,1,42
0.8,14,1,1,43
0.7,14,1,1,44
0.6,14,1,1,45
0.5,14,2,1,46
0.5,14,2,1,46
0.4,14,3,1,47
0.4,14,3,1,47
0.4,14,3,1,47
0.3,14,3,1,48
0.3,14,3,1,48
0.3,14,3,1,48
0.2,14,2,1,49
0.2,14,2,1,49
0.8,16,1,1,50
0.7,16,1,1,51
0.6,16,1,1,52
0.5,16,1,1,53
0.4,16,2,1,54
0.4,16,2,1,54
0.3,16,3,1,55
0.3,16,3,1,55
0.3,16,3,1,55
0.2,16,2,1,56
0.2,16,2,1,56
0.8,18,1,1,57
0.7,18,1,1,58
0.6,18,1,1,59
0.5,18,1,1,60
0.4,18,1,1,61
0.3,18,2,1,62
0.3,18,2,1,62
0.2,18,3,1,63
0.2,18,3,1,63
0.2,18,3,1,63
0.3,2,2,0,64
0.3,2,2,0,64
0.2,2,2,0,65
0.2,2,2,0,65
0.3,4,2,0,66
0.3,4,2,0,66
0.2,4,2,0,67
0.2,4,2,0,67
0.3,6,2,0,68
0.3,6,2,0,68
0.2,6,2,0,69
0.2,6,2,0,69
0.8,8,2,0,70
0.8,8,2,0,70
0.3,8,2,0,71
0.3,8,2,0,71
0.2,8,2,0,72
0.2,8,2,0,72
0.8,10,2,0,73
0.8,10,2,0,73
0.7,10,2,0,74
0.7,10,2,0,74
0.3,10,2,0,75
0.3,10,2,0,75
0.2,10,2,0,76
0.2,10,2,0,76
0.8,12,2,0,77
0.8,12,2,0,77
0.7,12,2,0,78
0.7,12,2,0,78
0.2,12,2,0,79
0.2,12,2,0,79
0.8,14,2,0,80
0.8,14,2,0,80
0.7,14,2,0,81
0.7,14,2,0,81
0.8,16,2,0,82
0.8,16,2,0,82
0.7,16,2,0,83
0.7,16,2,0,83
0.8,18,2,0,84
0.8,18,2,0,84
0.7,18,2,0,85
0.7,18,2,0,85
